trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
64,0,64,0,120.34907719999319,,120.32058609998785,5,120.34907719999319,120.34907719999319,0.019618499994976446,121.35348109999904,121.85443999999552,[-0.39916666666666667],[0.38416666666666666],[1],[0],[0],[1.5144139999902109],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
65,0,65,0,121.91244559999905,,121.85856319998857,10,121.91244559999905,121.91244559999905,0.035308200007420965,122.93652160000056,124.49381780000112,[-0.08166666666666667],[-0.33],[1],[0],[0],[2.600214500009315],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
66,0,66,0,124.52333099998941,,124.49736989999656,5,124.52333099998941,124.52333099998941,0.017443599994294345,125.53691929999331,126.32048709999071,[0.305],[-0.21833333333333332],[1],[0],[0],[1.806213400006527],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
67,0,67,0,126.3558434000006,,126.32465699999011,5,126.3558434000006,126.3558434000006,0.023091300012310967,127.37006359999941,128.88722789999156,[-0.4083333333333333],[0.4741666666666667],[1],[0],[0],[2.5402979999926174],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
68,0,68,0,128.92293669999344,,128.89133759999822,5,128.92293669999344,128.92293669999344,0.02163509999809321,129.93603629998688,130.15595069999108,[-0.16666666666666666],[0.05333333333333334],[1],[0],[0],[1.2431981999980053],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
69,0,69,0,130.21155459999864,,130.16059299999324,10,130.21155459999864,130.21155459999864,0.03427999999257736,131.22575729999517,131.90967819999787,[-0.495],[-0.4725],[1],[0],[0],[1.7155153999920003],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
70,0,70,0,131.94288159999996,,131.91301429999294,5,131.94288159999996,131.94288159999996,0.021142199999303557,132.9532576999918,133.60424539999804,[-0.4],[-0.38916666666666666],[1],[0],[0],[1.6702535999938846],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
71,0,71,0,133.6650124000007,,133.60908529999142,10,133.6650124000007,133.6650124000007,0.03838480000558775,134.69592639998882,135.36372399999527,[-0.17083333333333334],[-0.03166666666666667],[1],[0],[0],[1.7166976000007708],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
72,0,72,0,135.39678009999625,,135.36942939998698,5,135.39678009999625,135.39678009999625,0.018687100004171953,136.40379919999395,136.67145729999174,[0.30083333333333334],[0.20083333333333334],[1],[0],[0],[1.2838895000022603],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
73,0,73,0,136.7048863999953,,136.67580669999006,5,136.7048863999953,136.7048863999953,0.019491800005198456,137.72018519999983,139.80539839999983,[-0.175],[-0.32166666666666666],[1],[0],[0],[3.110269500000868],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
74,0,74,0,139.840684099996,,139.81003929999133,5,139.840684099996,139.840684099996,0.01959789999818895,140.8540304999915,141.40444349999598,[-0.4141666666666667],[-0.38666666666666666],[1],[0],[0],[1.5751069000107236],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
75,0,75,0,141.43768829999317,,141.40836069999204,5,141.43768829999317,141.43768829999317,0.019964399994933046,142.4540835999942,142.68778680000105,[-0.25333333333333335],[-0.2575],[1],[0],[0],[1.2598449000070104],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
